Qty,Description,Designator,Mouser Part #
12,0.1uF 50V,"C1,C2,C4,C7,C8,C9,C10,C15,C18,C20,C23,C24",581-12065F104K4
1,2.2uF 6V,C3,80-C1206C225K5R
1,1uF 16V,C5,187-CL31B105KBHNNNE 
1,10uF 6V,C6,187-CL31A106KBHNNNE
4,0.1uF 200V,"C11,C12,C13,C14",80-C1206C104K2REAULR
2,1uF 50V,"C16,C17",187-CL31B105KBHNNNE 
3,0.01uF 50V,"C19,C21,C22",80-C1206C103K5R7210 
2,4.7nF 100V,"C25,C26",80-C1206C472K5R 
2,470pF 200V RF Cap,"C27,C28",581-100B471KT200XT 
1,0.1uF 200V RF Cap,C29,
1,7.1V 1W,D1,755-UFZVTE-177.5B
2,1N4148,"D2,D3",621-1N4148WT
4,3.6V,"D6,D7,D8,D9",637-ZPD3B6
4, FB SMD 1206 600 Ohm 1A ,"L1,L2,L3,L4",875-HZ1206E601R-10 
1,BSS84,Q1,512-BSS84
1,BS170,Q2,512-BS170
1,BD677,Q3,511-BD677
3,3k3,"R1,R2,R3",279-CRGCQ1206F3K3
2,5k6,"R4,R5",279-CRGCQ1206F5K6
1,10k,R6,279-CRGCQ1206F10K
1,3.0k 1%,R7,603-RT1206FRE073KL
1,0.005 Ohm 4W,R8,755-GMR50HJAAFD5L00
1,3k,R9,603-RT1206FRE073KL
1,510R,R10,603-RT1206FRE07510RL
1,6k8,R11,279-CRGCQ1206F6K8
2,10R,"R12,R13",279-CRG1206F10R
1,200R 2W,R14,660-MOS2CT52R201J
2,220R,"R15,R17",279-CRG1206F220R
2,10R 1W,"R16,R18",652-CMP2010-FX-10R0L
2,150R 3W,"R19,R20",594-5093NW150R0J
2,500R,"RV1,RV2",652-3296W-1-501LF
1,ADT75,U1,584-ADT75ARMZ-R
1,AP7381-33Y-13,U2,621-AP7381-33Y-13
1,MCP3021A0T-E/OT,U3,579-MCP3021A0T-E/OT
1,ZXCT1010,U4,522-ZXCT1010E5TA
1,L4931CDT50,U5,511-L4931CDT50-TR
