Quantity,Designator,Description,Footprint,Mouser,LCSC Part #
63,"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C43, C44, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C7, C8, C9",100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,,
6,"H1, H2, H3, H4, H5, H6",MountingHole,MountingHole_2.5mm_Pad,,
9,"J16, J17, J18, J19, J20, J21, J26, J27, J35",B2B-XH-A_LF__SN_,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,B2B-XH-A(LF)(SN)
2,"J2, J4",B5B-XH-A_LF__SN_,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,B5B-XH-A(LF)(SN)
1,J22,B3B-XH-A_LF__SN_,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,B3B-XH-A(LF)(SN)
1,J28,B4B-PH-K-S_LF__SN_,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,B4B-PH-K-S(LF)(SN)
2,"J36, J37",Conn_01x10,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,,
4,"R1, R2, R3, R4",1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,
1,R5,100 Ohm,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,
1,R6,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,
2,"R7, R8",4K7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,
4,"S1, S2, S3, S4",1825910-6,3ETH9120,650-1825910-6,1825910-6
1,SW10,AGC-T/RIT_Sel A,PEC11L4115FS0020_NR,,
1,SW11,CW_Mic/Menu Sel,PEC11L4115FS0020,,
1,SW2,RotaryEncoder_Switch_MP,PEC11L4115FS0020_NR,,
1,SW3,LowShift/NB A,PEC11L4115FS0020_NR,,
1,SW4,HighWidth/NR A,PEC11L4115FS0020_VNR,,
1,SW5,AGC-T/RIT_Sel A,PEC11L4115FS0020_VNR,,
1,SW7,Vol/Mute B,PEC11L4115FS0020_VNR,,
1,SW8,LowShift/NB B,PEC11L4115FS0020_VNR,,
1,SW9,HighWidth/NR B,PEC11L4115FS0020_NR,,
1,TP1,5V,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,,
1,TP2,3V3,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,,
1,TP3,GND,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,,
1,U1,DEV-16771,MODULE_DEV-16771,,
1,U2,MSP4021-ST7796S,MSP4021-ST7796S-TM,,
1,U3,LTV-817,DIP-4_W7.62mm,859-LTV-817,LTV-817
2,"U4, U5",MCP23008-xP,DIP-18_W7.62mm,579-MCP23008-E/P,
1,U7,MCP23017-E_SP,DIP-28_W7.62mm_Socket_LongPads,579-MCP23017-E/SP,MCP23017-E/SP
1,Display, ST7796S,,,
